community,population,median_income,area_sqmi,density
LOWER WEST SIDE,33446.0,77188.63645876935,2.9252296983290416,11433.632038914799
MCKINLEY PARK,14854.0,86638.70405278039,1.4144211877401123,10501.822320501957
MONTCLARE,14280.0,74032.47338935574,0.9891670119940826,14436.389231392428
MORGAN PARK,20865.0,74566.99228372873,3.2956461160365285,6331.080239007292
MOUNT GREENWOOD,19059.0,113248.72585130384,2.7112133410206996,7029.693942426823
NEAR NORTH SIDE,100633.0,121326.9983703159,2.750369316675843,36588.90440271027
NEAR SOUTH SIDE,30482.0,124851.17229840561,1.7852401660115325,17074.453387468257
NEAR WEST SIDE,68165.0,117790.68973071511,5.685134961959012,11990.040774073615
NEW CITY,40140.0,58413.59699868902,4.829436525337633,8311.528640951286
NORTH CENTER,36014.0,148188.35924918088,2.0465366677654475,17597.5346873812
NORTH LAWNDALE,33958.0,49733.32852235843,3.2099195795597293,10579.081238121753
NORTH PARK,18356.0,69083.28459359337,2.521260417405622,7280.485535440378
NORWOOD PARK,39530.0,110250.19261320516,4.374680951783896,9036.087530881667
OAKLAND,3580.0,39098.24022346369,0.6067048696298207,5900.727320986111
OHARE,14145.0,81788.00402969247,13.337767146372522,1060.5223381671512
PORTAGE PARK,63031.0,92019.07140930653,3.952741086915968,15946.149422394483
PULLMAN,6744.0,61948.43890865955,2.1163895916083213,3186.558857944009
RIVERDALE,7518.0,16989.81058792232,3.529237595980812,2130.2051209478486
ROGERS PARK,49628.0,64218.399512372045,1.8386959954866442,26990.86750709165
ROSELAND,36635.0,55318.80928074246,4.817841293076443,7604.027980881588
SOUTH CHICAGO,27551.0,45179.57765598345,3.345679271100562,8234.800101127772
SOUTH DEERING,12854.0,49729.43138322701,10.897220055718034,1179.5668926824321
SOUTH LAWNDALE,69884.0,59623.78306908591,4.591307171211796,15220.937609703715
SOUTH SHORE,38763.0,45919.075071588886,2.9346273954065114,13208.83191531389
UPTOWN,56344.0,74038.79112239102,2.334984888519138,24130.348884499082
WASHINGTON HEIGHTS,24851.0,64725.931391090904,2.856539574068669,8699.686930856642
WASHINGTON PARK,12313.0,36634.71683649621,1.5199538523062448,8100.903840808938
WEST ELSDON,17901.0,79051.53410423998,1.1733489518622375,15256.331010130521
WEST ENGLEWOOD,28144.0,42407.032672374946,3.154689362771302,8921.322121958887
WEST GARFIELD PARK,15096.0,44375.95697597894,1.294652806759343,11660.269008945288
WEST LAWN,31942.0,69928.41644230168,2.9526551619635035,10818.059762440631
WEST PULLMAN,24549.0,53906.438714407916,3.5642360416456267,6887.590976905558
WEST RIDGE,78373.0,71553.99427098618,3.5306579589561147,22197.845532216892
WEST TOWN,83491.0,139515.904181289,4.57568958664527,18246.64860214274
WOODLAWN,26211.0,43895.815254237285,2.0738342050101286,12638.908132905439
